facility_name,program_name,facility_address,facility_city,facility_zip
FUENTE DE SALUD,FUENTE DE SALUD,12601 SAN FERNANDO RD STE #E,SYLMAR,91342
REGENCY THEATERS,REGENCY THEATRES COMMERCE 14,950 S GOODRICH BLVD,COMMERCE,90022
MARUKAI MARKET,MARUKAI MARKET,123 ASTRONAUT ELLISON ONIZUKA ST #106,LOS ANGELES,90012
CAFE IF,CAFE IF,7962 FOUNTAIN AVE,WEST HOLLYWOOD,90046
QUEEN'S MEAT & GRILL,QUEEN'S MEAT & GRILL,11535 SHERMAN WAY,NORTH HOLLYWOOD,91606
FRUMENTOS ITALIAN MARKET,FRUMENTOS ITALIAN MARKET,214 W BEVERLY BLVD,MONTEBELLO,90640
MARISCOS & VIENTOS #3,MARISCOS & VIENTOS #3,3332 E OLYMPIC BLVD,LOS ANGELES,90023
G & M OIL #51,G & M OIL #51,2155 S ATLANTIC BLVD,LOS ANGELES,90040
JOHNNIE'S PIZZERIA,JOHNNIE'S PIZZERIA,138 N BRAND BLVD STE #A,GLENDALE,91203
USA GASOLINE,USA GASOLINE,1890 S PACIFIC COAST HWY,REDONDO BEACH,90277
SUPER FAMILIA BARGAIN,SUPER FAMILIA BARGAIN,815 S INDIANA ST,LOS ANGELES,90023
LOU LLC,LOU LLC,4007 W RIVERSIDE AVE # A,BURBANK,91505
HOWARD'S DELI,HOWARD'S DELI,20970 WARNER CENTER LN STE A,WOODLAND HILLS,91367
BOB'S MARKET DELI/MEAT DEPT,BOB'S MARKET,1650 OCEAN PARK BLVD,SANTA MONICA,90405
LITTLE CAESARS,LITTLE CAESARS,38050 E 47TH ST # H,PALMDALE,93552
DOLLAR TREE #5489,DOLLAR TREE,2700 BROADWAY,LOS ANGELES,90031
STATER BROS #56,STATER BROS #56 (MARKET),1425 W ARROW HWY,SAN DIMAS,91773
MAHALO POKE,MAHALO POKE,6600 TOPANGA CANYON BLVD # 1008,CANOGA PARK,91303
ASTRO,ASTRO,2150 LOMITA BLVD,LOMITA,90717
SANSEI,SANSEI,1624 MONTEBELLO TOWN CTR # FC02,MONTEBELLO,90640
WAL-MART NEIGHBORHOOD MARKET  #5689,WAL-MART #5689 MARKET,3875 RANCHO VISTA BLVD,PALMDALE,93551
MANDALA LIQUOR,MANDALA LIQUOR,2920 N BROADWAY,LOS ANGELES,90031
HAPPY'S MARKET,HAPPY'S MARKET,3155 SANTA ANITA AVE,SOUTH EL MONTE,91733
THE OPRHEUM THEATRE,THE OPRHEUM THEATRE,842 S BROADWAY,LOS ANGELES,90014
YOLI'S MINI MARKET,YOLI'S MINI MARKET,5151 S VERMONT AVE,LOS ANGELES,90037
EXPRESS BURGER,EXPRESS BURGER,10727 S CENTRAL AVE,LOS ANGELES,90059
YHA HWA,YHA HWA,4031 W OLYMPIC BLVD,LOS ANGELES,90019
ANDY'S BAKERY,ANDY'S BAKERY,6021 N FIGUEROA ST,LOS ANGELES,90042
BELL GARDENS GOLF COURSE,BELL GARDENS GOLF COURSE,8000 PARK LN,BELL GARDENS,90201
NUMERO UNO MARKET #113,NUMERO UNO MARKET #113,129 E LOMITA BLVD,CARSON,90745
OM NOM ORGANIC,OM NOM ORGANIC,849 S BROADWAY AVE # #A3,LOS ANGELES,90015
PASTELERIA LUCEROS,PASTELERIA LUCEROS,3540 E 1ST ST,LOS ANGELES,90063
STARBUCKS COFFEE #8819,STARBUCKS COFFEE,1437 E GAGE AVE STE A,LOS ANGELES,90001
WALGREENS #7211,WALGREENS,11604 WHITTIER BLVD,WHITTIER,90601
TASTY GRILL,TASTY GRILL,301 S WESTERN AVE # 101,LOS ANGELES,90020
QUAN NGON NHA TRANG,QUAN NGON NHA TRANG,311 E VALLEY BLVD STE 103,SAN GABRIEL,91776
GENESIS LOUNGE AND KITCHEN,GENESIS LOUNGE AND KITCHEN,6356 HOLLYWOOD BLVD FLR 2,LOS ANGELES,90028
BEVERLY DAIRY,BEVERLY DAIRY,5650 E BEVERLY BLVD,LOS ANGELES,90222
ALBERTSON'S #1333,ALBERTSON'S #1333 - MAIN MARKET,38727 TIERRA SUBIDA AVE,PALMDALE,93551
MEAT MARKET,MEAT DEPT,7548 WOODLEY AVE,VAN NUYS,91406
FUJISAN SUSHI @ SAM'S CLUB,FUJISAN SUSHI @ SAM'S CLUB,2601 SKYPARK DR,TORRANCE,90505
KRAZY KORNER,KRAZY KORNER,901 1/2 SAN FERNANDO RD,SAN FERNANDO,91340
MRS. WINSTON,MRS. WINSTON,888 S FIGUEROA ST # 170,LOS ANGELES,90017
SUBWAY SANDWICHES,SUBWAY SANDWICHES,22800 VICTORY BLVD,WOODLAND HILLS,91367
BACHELOR BUTTON,BACHELOR BUTTON,10043 E ARTESIA PL,BELLFLOWER,90706
ASIAN HOTWOK,ASIAN HOTWOK,14653 VICTORY BLVD,VAN NUYS,91411
CLASSIC COFFEE,CLASSIC COFFEE,148 N GLENDORA AVE,GLENDORA,91741
CATALINA LIQUOR,CATALINA LIQUOR,3130 W 8TH ST,LOS ANGELES,90005
MELMARS MINI MART,MELMARS MINI MART,44645 SIERRA HWY,LANCASTER,93535
GNC,GNC,763 RIO RANCHO RD,POMONA,91766
OLD RIVER LIQUOR INC,OLD RIVER LIQUOR INC,7399 STEWART AND GRAY RD,DOWNEY,90241
SUBWAY SANDWICHES,SUBWAY SANDWICHES,611 E IMPERIAL HWY STE #105,LOS ANGELES,90059
BASKIN ROBBINS #348609,BASKIN ROBBINS #348609,3614 PACIFIC COAST HWY STE B,TORRANCE,90505
ALPINE SHELL / 7-11 #39449A,ALPINE SHELL / 7-11 #39449A / SUBWAY,701 W TORRANCE BLVD,TORRANCE,90502
STAR GARDEN,STAR GARDEN,6630 LANKERSHIM BLVD,NORTH HOLLYWOOD,91606
BREADOLOGIE,BREADOLOGIE,17517 CHATSWORTH ST,GRANADA HILLS,91344
VALLEY VIEW REXALL DRUGS,VALLEY VIEW REXALL DRUGS,13966 S VALLEY VIEW AVE,LA MIRADA,90638
MOTHER'S NUTRITIONAL CENTER,MOTHER'S NUTRITIONAL CENTER,7132 VAN NUYS BLVD,VAN NUYS,91405
PARTY CITY # 634,PARTY CITY # 634,13360 TELEGRAPH RD,WHITTIER,90670
AMECI PIZZA,AMECI PIZZA,15615 VENTURA BLVD # A,ENCINO,91436
THE COFFEE BEAN & TEA LEAF #192,COFFEE BEAN & TEA LEAF #192,5300 LANKERSHIM BLVD STE 115,NORTH HOLLYWOOD,91601
QUIZNOS #648,QUIZNOS #648,1441 W KNOX ST STE 600,TORRANCE,90501
EL MANANTIAL WATER,EL MANANTIAL WATER,11044 LONG BEACH BLVD # A,LYNWOOD,90262
POTATO CORNER,POTATO CORNER,400 S BALDWIN AVE STE 9250,ARCADIA,91007
JONATHAN CLUB,JONATHAN CLUB - FLORENTINE LOUNGE BAR,545 S FIGUEROA ST,LOS ANGELES,90071
FORUM,228 E - BAR - 3RD FLR,3900 W MANCHESTER BLVD,INGLEWOOD,90305
EL MILAGRO MARKET,EL MILAGRO MARKET,1801 ALBION ST,LOS ANGELES,90031
EL CAFETIN MARKET,EL CAFETIN MARKET,3217 N EASTERN AVE,LOS ANGELES,90032
STARBUCKS #23531,STARBUCKS,3869 W RANCHO VISTA BLVD,PALMDALE,93551
SODEXO @ THE HOLLYWOOD BOWL,SODEXO @ THE HOLLYWOOD BOWL - POOL CIRCLE KITCHEN,2301 N HIGHLAND AVE,LOS ANGELES,90068
THE COUNTER SPACE 7C,THE COUNTER SPACE 7C,700 WORLD WAY,LOS ANGELES,90045
STARBUCKS COFFEE #5626,STARBUCKS COFFEE CO #5626,8783 W PICO BLVD,LOS ANGELES,90035
JO-ANN FABRIC AND CRAFT STORE,JOANN FABRICS AND CRAFTS,1250 S LA CIENEGA BLVD,LOS ANGELES,90035
VITAMIN WORLD # 4928,VITAMIN WORLD # 4928,400 S BALDWIN AVE # 405,ARCADIA,91007
BULL BBQ,BULL BBQ,18040 S WESTERN AVE,GARDENA,90248
BGM BROKERAGE BEER #1 TRAILER,BGM BROKERAGE BEER #1 TRAILER,22500 SOLEDAD CANYON RD,SANTA CLARITA,91350
GNC C#5165,GNC C#5165,316 W 7TH ST,LOS ANGELES,90014
LA PLACITA MARKET,LA PLACITA MARKET,10402 LAUREL CANYON BLVD,PACOIMA,91331
WALGREENS 09136,WALGREENS 09136,1625 W SUNSET BLVD,LOS ANGELES,90026
BOEING 526 CAFE,BOEING 526 CAFE,2060 E IMPERIAL HWY,EL SEGUNDO,90245
CITY OF WALNUT CONCESSIONS,CITY OF WALNUT CONCESSIONS,20633 SNOW CREEK DR,WALNUT,91789
MOBIL OIL FOOD MART,MOBIL OIL FOOD MART,110 E PALMDALE BLVD,PALMDALE,93550
CIRCLE K # 3066,CIRCLE K # 3066,5202 N PECK RD,EL MONTE,91732
WORLD'S HARVEST CHARITIES AND FAMILY SERVICES,WORLD'S HARVEST CHARITIES AND FAMILY SERVICES,3200 S GRAND AVE,LOS ANGELES,90007
MIA JEE TANDOORI LLC,MIA JEE TANDOORI LLC,205 S VERMONT AVE,LOS ANGELES,90004
KATSUYA,KATSUYA,11777 SAN VICENTE BLVD,LOS ANGELES,90049
TERRANEA,THE SPA AT TERRANEA,100 TERRANEA WAY,RANCHO PALOS VERDES,90275
HOT SPOT TAIWANESE RESTAURANT,HOT SPOT TAIWANESE RESTAURANT,18246 GALE AVE STE B,INDUSTRY,91748
EL PILON MEAT MARKET #2,EL PILON MEAT MARKET #2,14503 PACIFIC AVE,BALDWIN PARK,91706
PASHA MARKET,PASHA MARKET,20802 E ARROW HWY,COVINA,91724
FAMOUS MARKET,FAMOUS MARKET,"6530 LANKERSHIM BLVD UNIT C,D,E",NORTH HOLLYWOOD,91606
MYRTLE TREE CAFE,MYRTLE TREE CAFE - MARKET,405 S MYRTLE AVE,MONROVIA,91016
ROSEVAN LIQUOR,ROSEVAN LIQUOR,14306 S VAN NESS AVE,GARDENA,90249
THE HIDEAWAY CAFE,THE HIDEAWAY CAFE,16055 VENTURA BLVD,ENCINO,91436
7-ELEVEN STORE #23393C,7-ELEVEN STORE #23393C,3975 WILSHIRE BLVD,LOS ANGELES,90010
HERMOSA SALOON,HERMOSA SALOON,211 PACIFIC COAST HWY,HERMOSA BEACH,90254
99 CENTS ONLY STORE #283,99 CENTS ONLY STORES #283,401 W ANAHEIM ST,WILMINGTON,90744
KINDNESS AND MISCHIEF,KINDNESS AND MISCHIEF,5537 N FIGUEROA ST,LOS ANGELES,90042
KNIGHTS OF COLUMBUS,KNIGHTS OF COLUMBUS,4315 N VINCENT AVE,COVINA,91722
4 UR HEALTH,4 UR HEALTH,6355 ATLANTIC AVE,BELL,90201
SPRINKLES ICECREAM,SPRINKLES ICECREAM,9631 S SANTA MONICA BLVD,BEVERLY HILLS,90210
THE COFFEE BEAN & TEA LEAF,THE COFFEE BEAN & TEA LEAF,10121 RIVERSIDE DR,NORTH HOLLYWOOD,91602
GALY'S FRUIT,GALY'S FRUIT,4521 GAGE AVE,BELL,90201
YOGURTLAND,YOGURTLAND,13933 PIONEER BLVD,NORWALK,90650
ALASKA AIRLINES BOARDROOM,ALASKA AIRLINES BOARDROOM,600 WORLD WAY #4708,LOS ANGELES,90045
STARBUCKS COFFEE #14412,STARBUCKS COFFEE 14412,3344 S LA CIENEGA BLVD,LOS ANGELES,90016
RED RIBBON,RED RIBBON,1600 S AZUSA AVE UNIT 166B,INDUSTRY,91748
AMAPOLA DELI & MARKET,AMAPOLA DELI & MARKET-BAKERY,13733 GARFIELD AVE,PARAMOUNT,90723
J'S 98 CENTS & UP STORE,J'S 98 CENTS & UP STORE,2945 TWEEDY BLVD # B,SOUTH GATE,90280
PREMIER CATERING,PREMIER CATERING - LOWER DECK,2700 N VERMONT AVE,LOS ANGELES,90027
TUMBY'S PIZZA,TUMBY'S PIZZA,2900 W BEVERLY BLVD,MONTEBELLO,90640
THE COFFEE BEAN & TEA LEAF #29,THE COFFEE BEAN & TEA LEAF29,340 N SAN FERNANDO BLVD,BURBANK,91504
SILVER MOON MARKET,SILVER MOON MARKET,2501 E 4TH ST,LOS ANGELES,90033
VINE STREET DELI & CAFE,VINE STREET DELI & CAFE,1241 VINE ST,LOS ANGELES,90038
QUICKLY BOBA TEA INC,QUICKLY BOBA TEA INC,2270 S AZUSA AVE # B,WEST COVINA,91792
WOW SSADA,WOW SSADA,10923 MAGNOLIA BLVD,NORTH HOLLYWOOD,91601
HUDSON NEWS / THAT'S SO LA,HUDSON NEWS / THAT'S SO LA,400 WORLD WAY # 4C,LOS ANGELES,90045
TOGO'S SANDWICHES,TOGO'S SANDWICHES,1253 FOOTHILL BLVD,LA VERNE,91750
LAKEWOOD LIQUOR,LAKEWOOD LIQUOR,11455 CARSON ST,LAKEWOOD,90715
7-ELEVEN STORE # 39014B,7-ELEVEN STORE # 39014B,18845 SHERMAN WAY STE # A,RESEDA,91335
SKEWERS HALAL,SKEWERS HALAL,9820 TOPANGA CANYON BLVD # O,CHATSWORTH,91311
FREUDIAN SIP,FREUDIAN SIP -OVIATT LIBRARY,18111 NORDHOFF ST,NORTHRIDGE,91330
DD FRY CORP,DD FRY CORP,4303 MAINE AVE # 104,BALDWIN PARK,91706
BEVERAGES & MORE #113,BEVERAGES & MORE #113,2533 PACIFIC COAST HWY STE A,TORRANCE,90505
DRAGON PALACE CHINESE RESTAURANT,DRAGON PALACE CHINESE RESTAURANT,2832 SANTA MONICA BLVD,SANTA MONICA,90404
TOAD'S DISCOUNT LIQUOR,TOAD'S DISCOUNT LIQUOR,9001 ATLANTIC AVE,SOUTH GATE,90280
GNC C#7032,GENERAL NUTRITION CTR #7032,11809 E WHITTIER BLVD,WHITTIER,90601
LAUREL POINT,LAUREL POINT,12050 VENTURA BLVD # C202,STUDIO CITY,91604
INLAND DAIRY MARKET,INLAND DAIRY MARKET,2055 WHITE AVE,LA VERNE,91750
UNIVERSAL STUDIOS HOLLYWOOD,STUDIO SCOOP,100 UNIVERSAL CITY PLZ,UNIVERSAL CITY,91608
FRUTA Y CULTURA,FRUTA Y CULTURA,13512 VAN NUYS BLVD,PACOIMA,91331
SMOKE & MORE,SMOKE & MORE,10714 S WESTERN AVE #105,LOS ANGELES,90047
TARGET STORES #257,TARGET STORES #257,24425 W MAGIC MOUNTAIN PKWY,VALENCIA,91355
STARBUCKS COFFEE #5708,STARBUCKS COFFEE #5708,113 E ALAMEDA AVE,BURBANK,91502
DIEP THANH THANH RESTAURANT - DRINKS - DESSERT,DIEP THANH THANH RESTAURANT - DRINKS - DESSERT,8450 GARVEY AVE # 102,ROSEMEAD,91770
JAMBA JUICE #866,JAMBA JUICE #866,3525 W CARSON ST # 80,TORRANCE,90503
CURRY HUT INDIAN FOOD,CURRY HUT INDIAN FOOD,8838 E WHITTIER BLVD,PICO RIVERA,90660
SPROUTS,SPROUTS - BAKERY/DELI,8985 W VENICE BLVD,LOS ANGELES,90034
TAQUERIA COLIMA,TAQUERIA COLIMA,15648 E LEFFINGWELL RD,WHITTIER,90604
EDIBLE ARRANGEMENTS,EDIBLE ARRANGEMENTS,11702 MOORPARK ST,STUDIO CITY,91604
BIONIC LAND,BIONIC LAND,12200 CIVIC CENTER DR,NORWALK,90650
HOLLYWOOD REPORTER #1452,HOLLYWOOD REPORTER #1452,500 WORLD WAY T5,LOS ANGELES,90045
MCDONALD'S #4844,MC DONALD'S,1210 S SOTO ST,LOS ANGELES,90023
SMART & FINAL EXTRA #512,SMART & FINAL EXTRA #512,7224 MASON AVE,WINNETKA,91306
CATRINA MEXICAN RESTAURANT,CATRINA MEXICAN RESTAURANT,1585 SEPULVEDA BLVD UNIT K,TORRANCE,90501
WAL-MART STORE,WALMART-BAKERY,27931 KELLY JOHNSON PKWY,VALENCIA,91355
7-ELEVEN #33601,7-ELEVEN #33601,31186 HAWTHORNE BLVD,RANCHO PALOS VERDES,90275
RAY & ROY'S MARKET,RAY & ROY'S MARKET,2800 E 4TH ST,LOS ANGELES,90033
KISS PIZZA AND DELI,KISS PIZZA AND DELI,609 1/2 S BROADWAY,LOS ANGELES,90014
"C SORE CO, INC.","C SORE CO, INC.",11402 HAWTHORNE BLVD,HAWTHORNE,90250
H MART,H MART,20137 PIONEER BLVD,LAKEWOOD,90715
THE LOOSE TEAS CAFE AND GIFTS,THE LOOSE TEAS CAFE AND GIFTS,666 W HUNTINGTON DR,MONROVIA,91016
FAT BURGER,FAT BURGER,1507 W BEVERLY BLVD,MONTEBELLO,90640
PANADERIA SALVADORENA,PANADERIA SALVADORENA,4322 BEVERLY BLVD,LOS ANGELES,90004
STREET CORNER NEWS,STREET CORNER NEWS,1317 GLENDALE GALLERIA,GLENDALE,91210
T3  BAR & GRILL,T3  BAR & GRILL,333 S ALAMEDA ST STE 115,LOS ANGELES,90013
SRI SIAM THAI RESTAURANT,SRI SIAM THAI RESTAURANT,106 E FOOTHILL BLVD,ARCADIA,91006
ATLANTIC LIQUOR,ATLANTIC LIQUOR,11022 S ATLANTIC AVE,LYNWOOD,90262
S.G. NOODLE HOUSE,S.G. NOODLE HOUSE,608 E VALLEY BLVD # A&B,SAN GABRIEL,91776
ALONDRA BAKERY NO. 2,ALONDRA BAKERY NO. 2,180 W SIERRA MADRE,AZUSA,91702
CLAREMONT NUTRICION CENTER,CLAREMONT NUTRICION CENTER,843 W FOOTHILL BLVD,CLAREMONT,91711
VITAMIN WORLD #4971,VITAMIN WORLD #4971,181 STONEWOOD ST,DOWNEY,90241
QUENELLE,QUENELLE,2214 W MAGNOLIA BLVD # A,BURBANK,91506
7-ELEVEN STORE #34189A,7-ELEVEN STORE #34189A,20501 S WESTERN AVE,TORRANCE,90501
KREATION JUICERY,KREATION JUICERY,1300 HIGHLAND AVE # 110,MANHATTAN BEACH,90266
7-ELEVEN,7 ELEVEN,11351 MOORPARK ST,STUDIO CITY,91604
PIEOLOGY PIZZERIA,PIEOLOGY PIZZERIA,3720 PACIFIC COAST HWY,TORRANCE,90505
AZABU SABO,AZABU SABO,6000 SEPULVEDA BLVD STE 2507,CULVER CITY,90230
7 ELEVEN #34630,7 ELEVEN #34630,6262 ROSEMEAD BLVD,TEMPLE CITY,91780
MIKE'S TOBACCO & LIQUOR,MIKE'S TOBACCO & LIQUOR,1174 S DIAMOND BAR BLVD,DIAMOND BAR,91765
UNCLE TETSU,UNCLE TETSU,400 S BALDWIN AVE # M15,ARCADIA,91007
UNIVISION,UNIVISION DEPARTURE,200 WORLD WAY,LOS ANGELES,90045
VICTOR BENES,VICTOR BENES,4738 LAUREL CANYON BLVD,VALLEY VILLAGE,91607
FOCUS,FOCUS,2541 ROSEMEAD BLVD,SOUTH EL MONTE,91733
HUGHIES LIQUOR,HUGHIES LIQUOR MARKET,12121 MAGNOLIA BLVD,NORTH HOLLYWOOD,91607
MEDITERRANEAN TRADITIONAL FOOD,MEDITERRANEAN TRADITIONAL FOOD,10821 VENICE BLVD,LOS ANGELES,90034
GNC #8384,GNC #8384,1735 N VICTORY PL,BURBANK,91502
RITE AID #5494,RITE AID #5494,8508 S PAINTER AVE,WHITTIER,90602
HOMEGOODS # 644,HOMEGOODS #644,5530 RESEDA BLVD,TARZANA,91356
WATERIA,WATERIA,449 N AZUSA AVE,WEST COVINA,91791
"ATLANTIC PETROLEUM, INC.",ATLANTIC PETROLEUM,301 S ATLANTIC BLVD,LOS ANGELES,90022
TRAVEL TRADERS #3065,TRAVEL TRADERS #3065,1400 PARK VIEW AVE,MANHATTAN BEACH,90266
QUAN SERVICE CENTER INC.,QUAN SERVICE CENTER INC.,250 S ATLANTIC BLVD,LOS ANGELES,90022
CUT IN HALF EL SANCHO RESTAURANT,CUT IN HALF EL SANCHO RESTAURANT,1600 W SLAUSON AVE # L32,LOS ANGELES,90047
ONGGANAE LA,ONGGANAE LA,936 S VERMONT AVE,LOS ANGELES,90006
POPCORNOPOLIS,POPCORNOPOLIS,21880 HAWTHORNE BLVD # 337B,TORRANCE,90503
N NAKA,N NAKA SUSHI,3455 OVERLAND AVE,LOS ANGELES,90034
HERITAGE FINE  WINES,HERITAGE FINE  WINES,9400 S SANTA MONICA BLVD #101,BEVERLY HILLS,90210
THE PENTHOUSE BAR,PENTHOUSE BAR,1111 2ND ST # 18 FL,SANTA MONICA,90403
OFFICE DEPOT #2263,OFFICE DEPOT #2263,28150 NEWHALL RANCH RD,SANTA CLARITA,91350
WILLIAM'S MARKET,WILLIAM'S MARKET,743 E DELORAS DR,CARSON,90745
DOLLAR TREE #4095,DOLLAR TREE #4095,426 S ALVARADO ST,LOS ANGELES,90057
DOLLAR TREE # 5859,DOLLAR TREE # 5859,1212 N VINE ST,LOS ANGELES,90028
MAKET LATINA,MAKET LATINA,2432 TYLER AVE,SOUTH EL MONTE,91733
CARMEL LIQUOR,CARMEL LIQUOR,12516 VANOWEN ST,NORTH HOLLYWOOD,91605
BASKIN ROBBINS,BASKIN ROBBINS,838 E VALLEY BLVD,ALHAMBRA,91801
BARKOWSKI,BARKOWSKI,2819 PICO BLVD,SANTA MONICA,90405
PABLITOS PERUVIAN KITCHEN,PABLITOS PERUVIAN KITCHEN,3803 BURBANK BLVD,BURBANK,91505
FRUTERIA JUICE,FRUTERIA JUICE,6745 FULTON AVE,VAN NUYS,91401
BELLE BAKERY,BELLE BAKERY,12634 VENTURA BLVD,STUDIO CITY,91604
PRIK KEE NOO THAI RESTAURANT,PRIK KEE NOO THAI RESTAURANT,16920 E GLADSTONE ST,AZUSA,91702
WESTERN FUEL GROUP,WESTERN FUEL GROUP,101 E HOLT AVE,POMONA,91767
KMART #3018,KMART #3018,23222 VALENCIA BLVD,VALENCIA,91355
CVS/PHARMACY #9679,CVS/PHARMACY #9679,1485 E VALLEY BLVD,ALHAMBRA,91801
MCM MEET MARKET,MCM MEET MARKET,6200 S WESTERN AVE,LOS ANGELES,90047
MAMA CELIA'S KITCHEN,MAMA CELIA'S KITCHEN,5907 W HOLLYWOOD BLVD,LOS ANGELES,90028
SYNN 2,SYNN 2,8314 SEPULVEDA BLVD,NORTH HILLS,91343
NANAY GLORIA BAKESHOP & RESTAURANT,NANAY GLORIA BAKESHOP & RESTAURANT,2432 W TEMPLE ST,LOS ANGELES,90026
ELBOW ROOM,ELBOW ROOM,11110 ALONDRA BLVD,NORWALK,90650
LA FAVORITA BAKERY,LA FAVORITA BAKERY,1037 W GARDENA BLVD,GARDENA,90247
CHEVRON STATION #95008,CHEVRON STATION #95008,8101 W SUNSET BLVD,LOS ANGELES,90046
THE FIKA COMPANY-COFFEE ROASTERY,THE FIKA COMPANY-COFFEE ROASTERY,350 N PACIFIC COAST HWY,REDONDO BEACH,90277
AMIN'S SHELL,AMIN'S SHELL,2603 S NORMANDIE AVE,LOS ANGELES,90007
SAN FERNANDO 76,SAN FERNANDO 76,13131 FOOTHILL BLVD,SYLMAR,91342
LUCKY 7 LIQUOR & DELI,LUCKY 7 LIQUOR & DELI,13307 PARAMOUNT BLVD,SOUTH GATE,90280
CAFE BONAPARTE,CAFE BONAPARTE,53 PIER AVE,HERMOSA BEACH,90254
LUCKY 1 LIQUOR,LUCKY 1 LIQUOR,8462 S MAIN ST,LOS ANGELES,90003
TEMAKITTO,TEMAKITTO,28126 NEWHALL RANCH RD,SANTA CLARITA,91355
SAM'S CLUB #6628,SAM'S CLUB #6628,2601 SKYPARK DR,TORRANCE,90505
JUST DEAL 99,JUST DEAL 99,390 W FOOTHILL BLVD,POMONA,91767
LOCAL FIXTURE,LOCAL FIXTURE,6728 BRIGHT AVE,WHITTIER,90601
THE FLAME BROILER #106,THE FLAME BROILER #106,2532 E WORKMAN AVE,WEST COVINA,91791
DELILAH,DELILAH,7969 SANTA MONICA BLVD,WEST HOLLYWOOD,90069
PHO KOBE,PHO KOBE,1441 W KNOX ST STE 200,TORRANCE,90501
LA FUENTE 99 CENT #2,LA FUENTE 99 CENT #2,272 S NORMANDIE AVE,LOS ANGELES,90004
CHICAS TACOS,CHICAS TACOS,728 S OLIVE ST,LOS ANGELES,90014
HILTON,HILTON-LOBBY LOUNGE,555 UNIVERSAL HOLLYWOOD DR,UNIVERSAL CITY,91608
STARBUCKS COFFEE #6746,STARBUCKS COFFEE CO,5705 ROSEMEAD BLVD,TEMPLE CITY,91780
CAJUN CHICKEN & WINGS,CAJUN CHICKEN &WINGS,31743 CASTAIC RD,CASTAIC,91384
COFFEEHOUSE @ PARAMOUNT,COFFEEHOUSE @ PARAMOUNT,5555 MELROSE AVE,HOLLYWOOD,90038
CHRISTY'S DONUT,CHRISTY'S DONUT,11430 LAUREL CANYON BLVD,SAN FERNANDO,91340
TIENDAS EL COMPITA,TIENDAS EL COMPITA,9600 LONG BEACH BLVD # A,SOUTH GATE,90280
RIVERTON LIQUOR,RIVERTON LIQUOR,10800 MAGNOLIA BLVD,NORTH HOLLYWOOD,91601
TREE BURGER,TREE BURGER,7010 SOMERSET BLVD STE B,PARAMOUNT,90723
WAL-MART #5686,WAL-MART #5686 -  DELI,1301 N VICTORY PL,BURBANK,91502
WALGREENS #2155,WALGREENS #2155,1501 W WHITTIER BLVD,MONTEBELLO,90640
EL CEVICHAZO MEXICAN RESTAURANT,EL CEVICHAZO MEXICAN RESTAURANT,2728 E PALMDALE BLVD # 110,PALMDALE,93550
24 HOUR FITNESS #163,24 HOUR FITNESS #163,1500 ROSECRANS AVE,MANHATTAN BEACH,90266
GOOD WATER,GOOD WATER,4161 TWEEDY BLVD STE #A,SOUTH GATE,90280
JERSEY MIKE'S SUBS,JERSEY MIKE'S SUBS,11514 TELEGRAPH RD,SANTA FE SPRINGS,90670
HILTON GARDEN INN,HILTON GARDEN INN - PAVILLION PANTRY,401 S SAN FERNANDO BLVD,BURBANK,91502
BILLIARDS & SPORTS BAR,BILLIARDS & SPORTS BAR,13325 VICTORY BLVD,VAN NUYS,91405
LOUISIANA FRIED CHICKEN & CHINESE FOOD,LOUISIANA FRIED CHICKEN & CHINESE FOOD,9101 S CENTRAL AVE,LOS ANGELES,90002
LA BLANQUITA MARKET,LA BLANQUITA MARKET,4136 E CESAR E CHAVEZ AVE,LOS ANGELES,90063
FORUM,CHASE LOUNGE PANTRY STORAGE - 2ND FLR,3900 W MANCHESTER BLVD,INGLEWOOD,90305
TJ MAXX #1147,TJ MAXX #1147,1251 4TH ST,SANTA MONICA,90401
DOLLAR TREE #5187,DOLLAR TREE #5187,2218 ARTESIA BLVD,REDONDO BEACH,90278
ROASTED SESAME KITCHEN,ROASTED SESAME KITCHEN,4632 SANTA MONICA BLVD # 1617,LOS ANGELES,90029
WALGREENS #11440,WALGREENS,2331 S ATLANTIC BLVD,MONTEREY PARK,91754
COST BARGAIN CO,COST BARGAIN CO,2061 S GAREY AVE,POMONA,91766
TRAMONTO BISTRO,TRAMONTO BISTRO,22235 PACIFIC COAST HWY,MALIBU,90265
LA TIENDA,LA TIENDA,9851 ZELZAH AVE,NORTHRIDGE,91330
STAPLES THE OFFICE SUPER 107,STAPLES THE OFFICE SUPER 107,1450 S MOUNTAIN AVE,DUARTE,91010
RALPHS MARKET #295,RALPH'S GROCERY #295,8626 FIRESTONE BLVD,DOWNEY,90241
THE WAY FORWARD FOUNDATION,THE WAY FORWARD FOUNDATION,8728 S WESTERN AVE,LOS ANGELES,90047
HOUSE OF TACO,HOUSE OF TACO,13521 SHERMAN WAY STE G,VAN NUYS,91405
ORIGINAL THAI BBQ RESTAURANT,ORIGINAL THAI BBQ RESTAURANT,27530 NEWHALL RANCH RD STE 109,VALENCIA,91355
ALBERTOS MEXICAN FOOD,ALBERTOS MEXICAN FOOD,1925 N HOLT AVE,POMONA,91768
YUMMY DONUTS,YUMMY DONUTS,2270 E PALMDALE BLVD STE J,PALMDALE,93550
