,name,address,review_count,rating,price,categories,latitude_yelp,longitude_yelp,yelp_id,hours,program_name,facility_address,facility_city
96,Market Cafe Hope Street,,33,3.5,$$,"Sandwiches, Breakfast & Brunch, Cafes",34.04972076,-118.2556534,6pLPU8SisB3cBblxXVp7RQ,,MARKET CAFE @ 550 S HOPE ST,550 S HOPE ST,LOS ANGELES
97,Carl's Jr,,65,1.5,$,"Burgers, Fast Food",33.87310872,-118.3434735,DJopsEXt15PI_nmqh95iag,,CARL'S JR #431,3971 ARTESIA BLVD,TORRANCE
98,M & M Liquors,,8,5,$,"Beer, Wine & Spirits",34.17542,-118.29496,EkUECRARgtgjXx_Vavheuw,,M&M LIQUOR AND MARKET,1951 W GLENOAKS BLVD,GLENDALE
99,,,,,,,,,,,BURRITOS LOCOS GONE WILD,11243 SAN FERNANDO RD,SAN FERNANDO
100,Yangmani,,207,4.5,$$,"Korean, Barbeque",34.05263,-118.2869,Yit4Cis7BNRt-X_qTTccLQ,,YANGMANI,2561 W OLYMPIC BLVD,LOS ANGELES
101,Smart & Final,,28,2.5,$$,Grocery,34.072404,-118.031337,5HEFyRJRef_uflh3D0xf6Q,,SMART & FINAL #373,11110 RAMONA BLVD,EL MONTE
102,Baja Fish,,155,4,$,"Seafood Markets, Mexican, Sandwiches",33.7385086,-118.2924849,TdUBQ8xbNY_gfd-ogq0kIA,,BAJA FISH,611 S GAFFEY ST,SAN PEDRO
103,,,,,,,,,,,BARGAIN LINE DISCOUNT,6411 SEPULVEDA BLVD STE 1E,VAN NUYS
104,Larry's Hamburgers,,86,3,$,Burgers,33.753456,-118.292198,SijhTpsIgB1I7px_Oyt0Pg,,LARRY'S HAMBURGERS,639 W CHANNEL ST STE A,SAN PEDRO
105,Flor Blanca,,11,4,$$$$,"Mexican, Salvadoran",34.04545,-118.278,m2hhNhqKV1oX5ZutRAuMiA,,LA NUEVA FLOR BLANCA,1705 W PICO BLVD,LOS ANGELES
106,All That Barbecue,,511,4,$$,"Korean, Barbeque, Do-It-Yourself Food",34.13377887,-118.0524061,yNidVY4dJEwmWxj3h3ayeg,,ALL THAT BBQ,400 S BALDWIN AVE STE 2315,ARCADIA
