,name,address,review_count,rating,price,categories,latitude,longitude,yelp_id,name_input,address_input,city_input,hours
62,Rainbird Manila Bakeshop & Catering,"16028 Amar Rd, City of Industry, CA 91744",1.0,5.0,,"Caterers, Bakeries",34.0360733,-117.935869,sWhuN62i8EiRZ8oj9IHexA,RAINBIRD MANILA BAKESHOP,16028 E AMAR RD,LA PUENTE,
63,Burger Basket,"12155 Firestone Blvd, Norwalk, CA 90650",105.0,4.0,$,"Burgers, Breakfast & Brunch, Mexican",33.908723,-118.074019,miMRDBuxJ1Rv-lNIhVfu9g,BURGER BASKET,12155 E FIRESTONE BLVD,NORWALK,
64,Boys Burger No 10,"9090 Imperial Hwy, Downey, CA 90242",166.0,2.5,$,Burgers,33.9167137145996,-118.134452819824,-nGgMXU0bH4EZtA_7SA0NQ,THE BOYS BURGERS #10,9090 E IMPERIAL HWY,DOWNEY,
65,Quickly,"18361 Pioneer Blvd, Artesia, CA 90701",132.0,3.5,$,"Juice Bars & Smoothies, Coffee & Tea, Asian Fusion",33.865175,-118.0823349,xeR7mJmfbHWpTtGNalUr4A,QUICKLY,18361 S PIONEER BLVD,ARTESIA,
66,Subway Restaurants,"30817 Thousand Oaks Blvd, Westlake Village, CA 91362",27.0,3.5,$,Sandwiches,34.15576767,-118.7924575,6jYAo494xJvJTbxq0t6ecw,SUBWAY,30817 THOUSAND OAKS BLVD,WESTLAKE VILLAGE,
67,IHOP,"15344 Whittier Blvd, WHITTIER, CA 90603",100.0,2.5,$$,"American (Traditional), Breakfast & Brunch, Burgers",33.94634,-117.99938,7mlXN1FU-RSqcgriKyT6HA,IHOP,15344 E WHITTIER BLVD,WHITTIER,
68,Subway,"23705 W Malibu Rd, Ste 200, Malibu, CA 90265",43.0,2.5,$,Sandwiches,34.0341315783687,-118.691384,xcaASkq06c4MPMgVqhVTdw,SUBWAY SANDWICHES,23705 W MALIBU RD STE,MALIBU,
69,Stone Oven,"6600 Topanga Canyon Blvd, Unit FC6, Canoga Park, CA 91303",254.0,4.0,$,"Salad, Sandwiches",34.1901607760621,-118.602350326845,jA27f50eDZTv4Zb8hQVhbg,STONE OVEN,6600 TPNG CYN BLVD UNIT FC06,CANOGA PARK,
70,Zia Valentina,"6333 W 3rd St, Ste 530, Los Angeles, CA 90036",5.0,2.5,,Cafes,34.0722,-118.36037,UsM2HsAtn7evr5aaxJrtnw,ZIA VALENTINA,6333 W 3RD ST #530,LOS ANGELES,
71,Divino,"11714 Barrington Ct, Los Angeles, CA 90049",174.0,4.0,$$$,"Italian, Wine Bars",34.06407,-118.46946,IH5OdO9k2bzk6qhuoJ2B8Q,DIVINO,11714 BARRINGTON CT,LOS ANGELES,
72,Ramen Izakaya Ajido,"1730 W Sepulveda Blvd, Ste 6, Torrance, CA 90501",322.0,4.0,$,Ramen,33.8163012,-118.3095359,__Y-6qeCR98is7ZLEf9RNg,RAMEN IZAKAYA AJIDO,1730 W SEPULVEDA BLVD 6,TORRANCE,
73,Sushi Fire,"1723 Huntington Dr, Duarte, CA 91010",510.0,4.0,$$,"Sushi Bars, Japanese",34.1398621,-117.9680862,Icg_d_cFeIfonLFRFP24LA,SUSHI FIRE,1723 E HUNTINGTON DR,DUARTE,
74,Siamese Restaurant,"1544 Foothill Blvd, La Verne, CA 91750",153.0,4.0,$$,"Thai, Seafood",34.1159625,-117.7736958,JqRpSVyO9mpu6Eu3Kidm5w,SIAMESE RESTAURANT,1544 W FOOTHILL BLVD,LA VERNE,
75,Wing N Stuff,"3650 W Martin Luther King Jr Blvd, Ste 133, Los Angeles, CA 90008",23.0,3.0,$,Chicken Wings,34.011431,-118.335681,AkxuXPVxqzhGY_soH7g_gQ,WING N STUFF,3650 W MLK BLVD,LOS ANGELES,
76,El Pollo Loco,"5386 Cherry Ave, Long Beach, CA 90805",116.0,2.0,$,"Fast Food, Mexican",33.854101,-118.167525,qx10kvhwLb_uoGNWLjKoCA,EL POLLO LOCO #5420,5386 N CHERRY AVE,LAKEWOOD,
77,Elite Restaurant,"700 S Atlantic Blvd, Monterey Park, CA 91754",1717.0,3.5,$$,"Dim Sum, Seafood, Cantonese",34.0539,-118.13611,CIPw9R8nB9vcVX7oL9f8DA,ELITE RESTAURANT,700 S ATLANTIC BLVD,MONTEREY PARK,
78,Toño's Tacos,"4300 Cesar Chavez Ave, Los Angeles, CA 90022",32.0,3.5,$,Mexican,34.0404251,-118.1734499,D0iHI2CUWgt48Iu-72Oupw,TONO'S TACOS,4300 E CESAR CHAVEZ AVE,LOS ANGELES,
79,Golden Corral Buffet & Grill,"9588 Lakewood Blvd, Downey, CA 90240",300.0,3.5,$$,"Buffets, American (Traditional)",33.9526744,-118.1142341,Y-hf0R_rk7yT1cdbbBQ96w,GOLDEN CORRAL,9588 LAKEWOOD,DOWNEY,
80,,,,,,,,,,SAN PEDRO FISH,78 BERTH PORTS O CALL,SAN PEDRO,
81,Flame Broiler,"2526 S Figueroa St, Los Angeles, CA 90007",94.0,3.0,$,"Asian Fusion, Fast Food",34.0283585,-118.2755585,gCGZtjJoCjis143hl5V48A,THE FLAME BROILER,2526 S FIGUEROA ST,LOS ANGELES,
82,L&L Hawaiian Barbecue,"11413 South St, Cerritos, CA 90703",297.0,2.0,$,"Hawaiian, Barbeque",33.8586349,-118.0897776,AiHpWEj1BqWJK-Vj_jPECw,L AND L HAWAIIAN BARBEQUE,11413 E SOUTH ST,CERRITOS,
83,Amor Indio,"15200 Valley Blvd, City Industry, CA 91746",107.0,4.0,$$,"Mexican, Latin American",34.0272011,-117.964386,GMNv38T8LdX56854RjiPGg,AMOR INDIO,15200 E VALLEY BLVD,LA PUENTE,
84,Bob's Burgers,"14952 Valley Blvd, La Puente, CA 91746",175.0,4.0,$,"Burgers, Fast Food, Mexican",34.030269,-117.967898,KoMwFyqYidmvPSwcJjwNpw,BOBS BURGERS,14952 E VALLEY BLVD,LA PUENTE,
85,Bull Demon King Cafe,"8632 Valley Blvd, Rosemead, CA 91770",197.0,3.5,$$,"Taiwanese, Chinese, Noodles",34.08006,-118.08096,gWY9vaNyQ8NNoIml1XqwhQ,BULL DEMON KING CAFE,8632 E VALLEY BLVD STE J&K,ROSEMEAD,
86,,,,,,,,,,R&S,12950 VICTORY BLVD,VAN NUYS,
87,Green Room,"150 W 3rd St, Pomona, CA 91766",57.0,3.5,$$,"American (New), Cocktail Bars",34.0567436,-117.7506866,Q3-3gycJEVG5CtxBmag4cg,GREEN ROOM,150 W 3RD ST,POMONA,
88,Golden Ox,"10903 Main St, El Monte, CA 91731",32.0,3.5,$,"Breakfast & Brunch, Burgers, Mexican",34.07504,-118.03735,RqvR6cVOtZ7m2KdKElQhdw,GOLDEN OX,10903 MAIN ST,EL MONTE,
