,name,address,categories,review_count,rating,price,latitude_yelp,longitude_yelp,yelp_id,program_name,facility_address,facility_city,latitude,longitude,hours
11,Real Mccoys,,Bars,34.0,3.0,$,33.9792249,-118.0382963,feFrT-tmUTHduoPrgmO8-g,REAL MCCOYS KITCHEN,12913 PHILADELPHIA ST,WHITTIER,,,
12,Thai Dishes Wilshire,,"Thai, Asian Fusion",615.0,3.5,$$,34.0308554,-118.48365,3WAaQnnEqhX7F-dtDIGzKw,THAI DISHES RESTAURANT,1910 WILSHIRE BLVD,SANTA MONICA,,,
13,7-Eleven,,"Convenience Stores, Coffee & Tea",17.0,3.0,$,34.0656481,-118.2150872,K1LpGJ1hB5qvBadcVDPn-A,7-ELEVEN #33025A,2600 N MAIN ST,LOS ANGELES,,,
14,Corea BBQ,,"Korean, Soup, Noodles",73.0,3.0,$,34.0629515298948,-118.298351839185,SIPovCGhACQC1_uhBAP8SQ,COREA BBQ,3500 W 6TH ST,LOS ANGELES,,,
15,,,,,,,,,,W.W. SERVICE INC.,12800 E ROSECRANS AVE,NORWALK,,,
16,,,,,,,,,,DELI,14865 TELEGRAPH RD,LA MIRADA,,,
17,,,,,,,,,,CASA BLANCA,220 LINCOLN BLVD,VENICE,,,
18,El Pollo Loco,,"Fast Food, Mexican",67.0,2.0,$,33.916225,-118.264731,PqyYvNC96j0Zwlm_OPHNgw,EL POLLO LOCO,12800 S AVALON BLVD,LOS ANGELES,,,
19,Taco Bell,,"Fast Food, Mexican",24.0,3.0,$,33.895884,-118.221472,337ZtVECNEFWo-dYDDo5-g,TACO BELL #5598,241 E COMPTON BLVD,COMPTON,,,
20,Donut Plus,,Donuts,4.0,2.5,$,34.06212,-117.7773,jpyTXYpDEELuQ0ezn89RGg,DONUT PLUS,1611 W HOLT AVE,POMONA,,,
21,Del Rey Deli Co,,"Delis, Sandwiches",423.0,4.0,$$,33.956064,-118.442538,e8FAael2MMF0cuvrDCvPYg,DEL REY DELI CO,8501 PERSHING DR # #2,PLAYA DEL REY,,,
22,The Flame Broiler,,"Fast Food, Asian Fusion",100.0,3.0,$$,34.22131,-118.42915,ISxvznGQXMbm3-sbUljAFQ,THE FLAME BROILER,13606 ROSCOE BLVD 7,PANORAMA CITY,,,
23,BJ's Restaurant & Brewhouse,,"Pizza, American (New), Breweries",1099.0,3.0,$$,34.072369,-117.883645,C6X3NrryTmwej0DMbAEYSQ,BJ'S RESTAURANT & BREWERY,2917 E EASTLAND CENTER DR,WEST COVINA,,,
24,Circle K,,"Convenience Stores, Gas Stations",2.0,3.0,$,34.02418,-117.73204,80LboYAnG_T8drN9wn62vQ,CIRCLE K # 2652409,2727 S RESERVOIR ST,POMONA,,,
25,Sushi One,,"Japanese, Sushi Bars, Seafood",412.0,4.5,$$,34.0636449,-118.3082425,_hljp2lAVTCaTMGxORvybA,SUSHI ONE,3905 W 6TH ST,LOS ANGELES,,,
26,7-Eleven,,"Convenience Stores, Coffee & Tea",8.0,1.5,$,34.0271505624991,-118.257452845573,dm2QQK9I3-ibsJaYUE9O0Q,7-ELEVEN #39456A,1916 S SAN PEDRO ST,LOS ANGELES,,,
27,Sizzler,,"Seafood, Steakhouses, Salad",169.0,4.0,$$,34.18612,-118.39718,afYgGXMcxFKpt2DrWjxpcg,SIZZLER#925,6343 LAUREL CANYON BLVD,NORTH HOLLYWOOD,,,
28,Coffee & Vegan Bakery Oaxaca,,"Bakeries, Coffee & Tea, Vegan",11.0,3.5,$,34.01799,-118.30854,GkQEaulDHXVdPZ4EndxRiQ,TAQUERIA & BAKERY OAXACA,3774 S WESTERN AVE,LOS ANGELES,,,
29,La Botanita Party Supply,,Party Supplies,4.0,5.0,,33.9040565490723,-118.151062011719,LTUY_E1HHe7sixWun2vY9g,BOTANITA PARTY SUPPLIES,8505 E ROSECRANS AVE STE F6,PARAMOUNT,,,
30,3rd Generation Sake Bar,,"Sushi Bars, Ramen",316.0,4.0,$$,34.0487192,-118.2590779,S9A_ln-DFonx3vmCydjb4Q,THIRD GENERATION SAKE BAR / RESTAURANT,808 W 7TH ST,LOS ANGELES,,,
31,USC Galen Center,,"Stadiums & Arenas, Music Venues",88.0,4.0,$$,34.02079,-118.27986,yB-GD9GuRlEAS5ZXoS1szQ,GALEN CENTER-EVENT PIZZA,3400 S FIGUEROA ST,LOS ANGELES,,,
32,Which Wich,,Sandwiches,170.0,3.5,$,34.1434661446554,-118.394172136438,OmVhPoLcaFeaHMZAXq8GHQ,WHICH WICH #199,12048 VENTURA BLVD,STUDIO CITY,,,
33,,,,,,,,,,WENDY'S #27,17648 SHERMAN WAY,VAN NUYS,,,
34,Jack in the Box,,"Fast Food, Burgers, Tacos",34.0,1.5,$,33.95138,-118.1825479,xwBOjpmNrqjNx7CbtNNNSw,JACK IN THE BOX,8920 ATLANTIC AVE,SOUTH GATE,,,
35,Bristol Farms - Rolling Hills,,"Grocery, Specialty Food, Beer, Wine & Spirits",95.0,3.0,$$$,33.7695450516354,-118.367757208583,bOhuN781yACD4PnQ8r9Mpg,BRISTOL FARMS DELI/BAKERY,837 SILVER SPUR RD # B,ROLLING HILLS ESTATES,,,
36,Rinaldi's of Redondo,,Delis,134.0,3.0,$,33.818461,-118.385107,P3ZsVU6Oj1S_wTXxWX0hig,RINALDI'S OF REDONDO ITALIAN,308 AVENUE I,REDONDO BEACH,,,
37,Domenick's Pizza House,,"Pizza, Italian, Pasta Shops",122.0,4.0,$$,33.761788,-118.310875,MIDPwMGahl7QkLSfnJDjhA,DOMENICK'S PIZZA HOUSE #3,28360 S WESTERN AVE,RANCHO PALOS VERDES,,,
38,Galanga Thai Fusion,,Thai,733.0,4.5,$$,34.090631,-118.3520775,IKkjFMyOTGeeak-VEJDnjw,GALANGA THAI FUSION,7440 SANTA MONICA BLVD,WEST HOLLYWOOD,,,
39,Piara Pizza,,"Chicken Wings, Pizza",12.0,3.5,$,33.933489,-118.2655443,qKC84EP5FoPEtExZHwd_wA,PIARA PIZZA,11151 AVALON BLVD STE 102,LOS ANGELES,,,
40,D' New Aristocrat,,"Bakeries, Filipino",106.0,4.5,$,34.22129,-118.43314,UnzLFocUOxRjX48rUDzNhw,D'NEW ARISTOCRAT,13752 ROSCOE BLVD,PANORAMA CITY,,,
41,Panaderia Y Restaurante Mi Tierra,,Salvadoran,21.0,3.5,$,34.20635,-118.536421,WOwj7tGf1Vq9BRIbyM8UFg,PANADERIA & RESTAURANT MI TIERRA,7455 RESEDA BLVD #E,RESEDA,,,
42,Tumby's Pizza,,Pizza,53.0,4.0,$,34.0506440739497,-118.281150832772,3LiIlMn3Zi8nRbM8IbIPAQ,I-PIZZA TUMBY'S INC,1059 ALVARADO ST,LOS ANGELES,,,
43,IHOP,,"American (Traditional), Breakfast & Brunch, Burgers",232.0,2.5,$$,33.8313632,-118.26341,j-w8uOGbBCeR-THZrhQCyw,IHOP,21716 S AVALON BLVD,CARSON,,,
44,Numero Uno Pizzeria,,Pizza,140.0,3.5,$$,33.87624,-118.353,zOsCJFuM-9E4Z5yFf0OVgw,NUMERO UNO PIZZA,17013 HAWTHORNE BLVD,LAWNDALE,,,
45,,,,,,,,,,7-ELEVEN STORE #18532D,2900 HYPERION AVE,LOS ANGELES,,,
46,Le Blanc,,Bars,10.0,3.0,$,34.07339,-118.21195,kcZALV1gznBFblN9DY_Btw,LE BLANC CAFE,2834 N BROADWAY,LOS ANGELES,,,
47,Daily Donut,,Donuts,22.0,4.0,$,34.2085449,-118.519032,ejDz-_-vD8qwfTPq7xiQHQ,DAILY DONUTS,17707 SATICOY ST,RESEDA,,,
48,San Fernando Valley Rescue Mission,,Community Service/Non-Profit,9.0,2.5,,34.2303056703283,-118.534434847534,JvZ31hAafAlqQUM-L-aiNA,RESCUE MISSION ALLIANCE,8756 CANBY AVE,NORTHRIDGE,,,
49,Cafe Americano,,Coffee & Tea,182.0,4.5,$$,34.0621282911555,-118.314654231283,Ln9OuzUwCQEcUytof5YiOw,CAFE AMERICANO,4003 WILSHIRE BLVD,LOS ANGELES,,,
50,Exotic Thai Cafe,,"Thai, Salad, Seafood",169.0,3.0,$$,34.1434818676536,-118.756622800682,4ZA1lm7LqHRbS3WduYhGqQ,EXOTIC THAI BISTRO,29045 AGOURA RD # B,AGOURA HILLS,,,
51,Kai Ramen Alhambra,,"Ramen, Soup",868.0,4.0,$$,34.0793322,-118.1109581,9Ct-GyA3a7sVmcGubHfDxQ,KAI OO RAMEN,1261 E VALLEY BLVD,ALHAMBRA,,,
52,DICK'S Sporting Goods,,Sporting Goods,105.0,2.5,$$,34.4172,-118.507,YfVpae6huEjpVuwJYYW_zw,DICK'S SPORTING GOODS,26591 CARL BOYER DR,SANTA CLARITA,,,
53,,,,,,,,,,FISH OF WEST VALLEY,20440 LASSEN ST,CHATSWORTH,,,
54,,,,,,,,,,SAM'S MARKET,25225 S VERMONT AVE,HARBOR CITY,,,
55,,,,,,,,,,IVAN'S SNACK BAR,14650 PARTHENIA ST # #M1,PANORAMA CITY,,,
56,Starbucks,,Coffee & Tea,40.0,2.0,$,34.0755590031447,-118.377431574606,oUwJ5kQA1TvOJRmLtlelEw,STARBUCKS COFFEE #5290,8500 W BEVERLY BLVD STE #K100,LOS ANGELES,,,
57,Jin's Western Shell,,Gas Stations,9.0,2.0,,34.069244,-118.308731,jDuoE8mjHpxkxKgqIBiamg,JIN'S WESTERN SHELL,270 S WESTERN AVE,LOS ANGELES,,,
58,Yogurtland Claremont,,Ice Cream & Frozen Yogurt,168.0,4.0,$,34.095099,-117.719482,FaV5Y8mNhsAOPzdamcbHKQ,YOGURTLAND,101 N INDIAN HILL BLVD # 103,CLAREMONT,,,
59,,,,,,,,,,THE SIX,10668 W PICO BLVD,LOS ANGELES,,,
60,Ace Meat,,Meat Shops,9.0,3.0,$$,33.872334,-118.082611,204Y9Y7eSWXrj56Gc2riqw,ACE MEAT MARKET,17421 S PIONEER BLVD,ARTESIA,,,
61,The Liquor Fountain,,"Beer, Wine & Spirits",21.0,4.5,$$,34.09544,-118.30256,kwfwI5IA86BLWpz9udY7Fg,FOUNTAIN MARKET & LIQUOR,5203 FOUNTAIN AVE # A,LOS ANGELES,,,
62,Family Fish Market,,Seafood Markets,69.0,3.0,$$,34.6868442887945,-118.148588014151,UNf5dzqvBtIvAQWXQdyRdA,MV FISH MARKET,44245 10TH ST W,LANCASTER,,,
63,Trojan Liquor,,"Beer, Wine & Spirits, Meat Shops",11.0,4.5,$$,34.0272789001465,-118.291152954102,zHf-mWbgtQj80TQ6snKLzg,TROJANS LIQUOR,3000 S VERMONT AVE,LOS ANGELES,,,
64,Freudian Sip Sierra Center,,"Coffee & Tea, Breakfast & Brunch, Vegan",12.0,2.0,$,34.238897,-118.526897,hF3a2N6AnYtyWqp42xakmg,KIKKA-BAMBOO SIERRA CTR,18111 NORDHOFF ST,NORTHRIDGE,,,
65,,,,,,,,,,MR. C. BEVERLY HILLS 12TH FL,1224 S BEVERWIL DR,LOS ANGELES,,,
66,Taco Bell,,"Fast Food, Mexican",73.0,2.5,$,34.057965,-118.291934,OiyQPfDqZg9V9PTs-RNlGQ,TACO BELL,3029 W 8TH ST,LOS ANGELES,,,
67,Boiling Point,,"Taiwanese, Hot Pot, Comfort Food",880.0,3.0,$$,34.13758,-118.02794,X2Owj9ytHHvLPqGU3zpQJA,BOILING POINT,206 S 1ST AVE,ARCADIA,,,
68,Atlantic Bakery,,Bakeries,9.0,4.0,$,33.9828842,-118.1860695,G2VoiIK5_X3EtDQ89UFgaQ,ATLANTIC BAKERY,6122 ATLANTIC BLVD,MAYWOOD,,,
69,French Village Cafe,,Coffee & Tea,29.0,3.0,$,33.8710456865897,-118.354134309193,Fk08keLVhAFb921hswnsUg,FRENCH VILLAGE CAFE,1815 HAWTHORNE BLVD # K-16,REDONDO BEACH,,,
70,Yoshinoya Sun Valley,,Japanese,49.0,3.0,$,34.2241617,-118.3654366,T5fxyubqxRxTOXcbS4uVOw,YOSHINOYA BEEF BOWL,8400 SUNLAND BLVD,SUN VALLEY,,,
71,Seafood Shack,,"Seafood, Cajun/Creole",314.0,3.5,$$,33.8583251,-118.0839799,YbnzztPa9zLkSTVBL0zy4g,SEAFOOD SHACK,11710 SOUTH ST STE 104,ARTESIA,,,
72,Juice It Up!,,Juice Bars & Smoothies,93.0,4.5,$$,34.405847,-118.466204,oN_yYOPnnl5ZSsV8eojseg,JUICE IT UP,26917 SIERRA HWY,NEWHALL,,,
73,Cardenas Markets,,"Grocery, Mexican",29.0,2.0,$,34.0624890743039,-117.7782798931,9-1bwurakA_XGcF2nntLPg,CARDENAS MARKETS(MEAT DEPT),1645 W HOLT AVE,POMONA,,,
74,CVS Pharmacy,,"Drugstores, Convenience Stores, Pharmacy",146.0,2.5,$$,34.103443,-118.2584228,wNYu3KiHMxyrl-Oak0u6_g,CVS/PHARMACY,2530 GLENDALE BLVD,LOS ANGELES,,,
75,,,,,,,,,,RALPHS MARKET #39 - MEAT & SEAFOOD,260 S LA BREA AVE,LOS ANGELES,,,
76,Rita's Italian Ice,,"Ice Cream & Frozen Yogurt, Desserts, Shaved Ice",236.0,4.5,$,34.4329022,-118.5321762,z7xHdznXTY_pebt03OAfJA,RITA'S ICE-CUSTARD-HAPPINESS,26773 BOUQUET CANYON RD,SANTA CLARITA,,,
77,The Venice Whaler,,"American (Traditional), Cocktail Bars, Breakfast & Brunch",857.0,3.5,$$,33.978958,-118.46665,lO6yqleZ389jlordXoQp-A,VENICE WHALER,10 WASHINGTON BLVD,MARINA DEL REY,,,
78,Clover Café,,"American (New), Cafes",2.0,4.0,$,34.0619594118057,-118.298621428405,v4jGXRurb-qOlM4Dyp87lw,CLOVER CAFE,3435 WILSHIRE BLVD #109,LOS ANGELES,,,
79,El Burrito Jr,,Mexican,52.0,4.0,$,34.05682,-118.34538,2NjKqt_JHDWV6RJ08FthWA,EL BURRITO JR,1018 S LA BREA AVE,LOS ANGELES,,,
80,,,,,,,,,,"PHUONG,HOA T",685 N SPRING ST UNIT B,LOS ANGELES,,,
81,SF Supermarket,,"Grocery, Seafood Markets",56.0,2.5,$,33.9891158583941,-117.902113460004,-pY0WzyexiA-DZ6o_P0WTA,SF ROWLAND HEIGHTS SUPERMARK,18475 COLIMA RD,INDUSTRY,,,
82,Dinosaur Coffee,,Coffee & Tea,567.0,4.0,$$,34.095284,-118.283785,10W31qG0SoSp_8x6dfY7OQ,DINOSAUR COFFEE,4334 SUNSET BLVD,LOS ANGELES,,,
83,Shogun Restaurant,,Japanese,611.0,3.5,$$,34.1142347572811,-117.764421952648,suwYQoPnWbRNNSzTkhWKmw,SHOGUN RESTAURANT,2123 FOOTHILL BLVD STE C,LA VERNE,,,
84,Time Out Burger,,"Burgers, Salad, Sandwiches",84.0,4.5,$,33.9173633578957,-118.117415383458,e_H6pBi8MBrauCEbtaJJyw,JJ BURGER,9841 E IMPERIAL HWY,DOWNEY,,,
